MEMORY:,,* ALMEMO Control * Ver. AC-6.0.3.1 - 16.11.2017 13:00:56 * 06.08.2020 15:11:19                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,,,,,,,,
ALMEMO,K:,,,,,,,,,,,,,
V7,BEREICH:,P204,Ntc ,P Uw,P td,P tw,Ntc ,HcrH,H td,H r ,NiCr,NiCr,NiCr,D2.6
710,KOMMENTAR:,WBGT,Psychromet,Feuchte,Taupunkt,Feuchttemp,Temp_T5,Feuchte_T5,TP_T5,Mischung,blatt aktu,blatt dry,blatt wet,quantum
V7,GW-MAX:,,,,,,,,,,,,,
$000016,GW-MIN:,,,,,,,,,,,,,
DATUM:,ZEIT:,M0.0 °C,M1.0 °C,M1.1 %H,M1.2 °C,M1.3 °C,M2.0 °C,M2.1 %H,M2.2 °C,M2.3 gk,M3.0 °C,M4.0 °C,M5.0 °C,M7.0 Wm
06.08.2020,09:45:31,25.17,23.49,53.5,13.6,17.15,23.74,45.9,11.5,8.4,21.7,22.5,21.0,35
06.08.2020,09:45:41,25.18,23.36,53.4,13.5,17.03,23.73,46.5,11.7,8.5,21.6,22.5,20.5,35
06.08.2020,09:45:51,25.19,23.35,53.5,13.5,17.05,23.72,46.0,11.5,8.4,21.6,22.4,20.1,35
06.08.2020,09:46:01,25.19,23.34,53.0,13.3,16.96,23.71,45.9,11.5,8.4,21.6,22.4,19.9,35
06.08.2020,09:46:11,25.20,23.31,52.7,13.2,16.88,23.71,46.1,11.5,8.4,21.6,22.4,19.6,35
06.08.2020,09:46:21,25.20,23.33,52.8,13.3,16.93,23.70,45.9,11.5,8.4,21.6,22.4,19.4,35
06.08.2020,09:46:31,25.21,23.40,52.7,13.3,16.96,23.70,46.4,11.6,8.5,21.5,22.3,19.2,34
06.08.2020,09:46:41,25.21,23.46,52.8,13.4,17.03,23.71,45.4,11.3,8.3,21.6,22.3,19.1,35
06.08.2020,09:46:51,25.21,23.48,53.0,13.5,17.08,23.72,46.6,11.7,8.5,21.5,22.3,19.0,35
06.08.2020,09:47:01,25.22,23.46,53.6,13.6,17.15,23.72,46.6,11.7,8.5,21.5,22.3,19.0,35
06.08.2020,09:47:11,25.22,23.39,53.5,13.5,17.08,23.73,46.6,11.7,8.5,21.4,22.3,19.0,36
06.08.2020,09:47:21,25.22,23.34,53.3,13.4,17.01,23.72,46.2,11.6,8.4,21.4,22.2,19.0,35
06.08.2020,09:47:31,25.23,23.37,53.2,13.4,17.02,23.72,45.4,11.3,8.3,21.4,22.2,18.9,35
06.08.2020,09:47:41,25.23,23.39,53.4,13.5,17.06,23.72,47.2,11.9,8.6,21.5,22.2,18.9,35
06.08.2020,09:47:51,25.24,23.37,54.1,13.7,17.15,23.72,46.5,11.7,8.5,21.4,22.2,19.0,35
06.08.2020,09:48:01,25.24,23.33,54.2,13.7,17.13,23.72,47.3,11.9,8.7,21.4,22.2,18.9,35
06.08.2020,09:48:11,25.24,23.34,54.6,13.8,17.20,23.72,47.1,11.9,8.6,21.5,22.2,18.8,36
06.08.2020,09:48:21,25.24,23.33,54.4,13.7,17.15,23.73,47.6,12.1,8.7,21.4,22.2,18.8,35
06.08.2020,09:48:31,25.25,23.57,51.8,13.2,16.97,23.73,45.4,11.3,8.3,21.4,22.2,18.8,35
06.08.2020,09:48:41,25.25,23.61,50.9,13.0,16.86,23.73,45.6,11.4,8.3,21.4,22.2,18.7,35
06.08.2020,09:48:51,25.25,23.66,49.9,12.7,16.74,23.74,45.5,11.4,8.3,21.4,22.3,18.5,36
06.08.2020,09:49:01,25.26,23.73,49.5,12.6,16.73,23.75,44.8,11.2,8.2,21.5,22.3,18.5,36
06.08.2020,09:49:11,25.26,23.76,49.5,12.7,16.76,23.77,45.5,11.4,8.3,21.4,22.3,18.6,35
06.08.2020,09:49:21,25.26,23.69,50.1,12.8,16.79,23.78,46.4,11.7,8.5,21.4,22.2,18.7,35
06.08.2020,09:49:31,25.27,23.65,50.8,13.0,16.87,23.78,46.8,11.8,8.6,21.4,22.2,18.6,35
06.08.2020,09:49:41,25.27,23.77,50.1,12.9,16.87,23.78,44.0,10.9,8.1,21.5,22.2,18.6,35
06.08.2020,09:49:51,25.29,24.00,48.7,12.6,16.83,23.81,44.2,11.0,8.1,21.4,22.3,18.6,36
06.08.2020,09:50:01,25.29,23.98,49.1,12.7,16.87,23.85,46.2,11.7,8.5,21.5,22.3,18.7,35
06.08.2020,09:50:11,25.28,23.91,49.7,12.9,16.93,23.87,45.8,11.6,8.4,21.4,22.3,18.7,36
06.08.2020,09:50:21,25.29,23.78,50.7,13.1,16.97,23.89,46.4,11.8,8.6,21.4,22.3,18.7,36
06.08.2020,09:50:31,25.29,23.73,50.7,13.0,16.92,23.89,45.7,11.6,8.4,21.5,22.3,18.8,36
06.08.2020,09:50:41,25.30,23.75,50.8,13.0,16.95,23.89,45.6,11.5,8.4,21.5,22.3,19.0,38
06.08.2020,09:50:51,25.31,23.73,50.9,13.1,16.95,23.90,45.7,11.6,8.4,21.5,22.3,19.0,36
06.08.2020,09:51:01,25.32,23.64,50.8,13.0,16.87,23.90,45.4,11.5,8.4,21.5,22.3,19.0,36
06.08.2020,09:51:11,25.33,23.57,50.8,12.9,16.81,23.89,45.2,11.4,8.3,21.6,22.3,19.0,36
06.08.2020,09:51:21,25.33,23.61,50.3,12.8,16.77,23.89,44.9,11.3,8.3,21.7,22.3,18.9,36
06.08.2020,09:51:31,25.34,23.60,50.3,12.8,16.75,23.90,45.9,11.7,8.5,21.7,22.3,18.8,36
06.08.2020,09:51:41,25.34,23.59,50.8,12.9,16.82,23.90,46.0,11.7,8.5,21.7,22.2,18.9,36
06.08.2020,09:51:51,25.35,23.60,51.7,13.2,16.97,23.90,44.7,11.3,8.3,21.8,22.3,18.9,36
06.08.2020,09:52:01,25.35,23.68,51.4,13.2,17.00,23.92,44.8,11.3,8.3,21.9,22.3,19.0,36
06.08.2020,09:52:11,25.36,23.75,51.0,13.1,16.99,23.94,44.7,11.3,8.3,21.9,22.3,19.0,35
06.08.2020,09:52:21,25.36,23.79,50.8,13.1,16.99,23.96,44.6,11.3,8.3,21.9,22.4,19.1,35
06.08.2020,09:52:31,25.37,23.78,50.9,13.1,16.99,23.99,46.7,12.0,8.7,21.8,22.4,19.1,35
06.08.2020,09:52:41,25.37,23.66,51.6,13.2,17.01,23.99,47.8,12.4,8.9,21.7,22.4,19.1,38
06.08.2020,09:52:51,25.38,23.63,51.9,13.3,17.03,23.99,47.9,12.4,8.9,21.7,22.3,19.0,38
06.08.2020,09:53:01,25.38,23.76,51.7,13.4,17.12,23.99,46.0,11.8,8.5,21.7,22.4,19.1,36
06.08.2020,09:53:11,25.39,23.91,51.4,13.4,17.18,24.01,45.6,11.7,8.5,21.8,22.4,19.2,36
06.08.2020,09:53:21,25.39,23.89,52.1,13.6,17.28,24.03,46.6,12.0,8.7,21.8,22.4,19.3,36
06.08.2020,09:53:31,25.40,23.87,52.8,13.8,17.37,24.05,46.3,11.9,8.6,21.8,22.4,19.3,36
06.08.2020,09:53:41,25.41,23.97,52.1,13.6,17.34,24.07,43.8,11.1,8.2,21.8,22.5,19.3,39
06.08.2020,09:53:51,25.42,24.04,51.3,13.5,17.29,24.10,45.2,11.6,8.5,21.8,22.5,19.2,36
06.08.2020,09:54:01,25.43,23.91,52.3,13.6,17.32,24.12,47.6,12.4,8.9,21.9,22.5,19.3,36
06.08.2020,09:54:11,25.43,23.85,52.1,13.6,17.25,24.12,45.9,11.9,8.6,22.0,22.5,19.2,36
06.08.2020,09:54:21,25.45,23.89,51.7,13.5,17.21,24.12,44.7,11.5,8.4,22.0,22.6,19.2,36
06.08.2020,09:54:31,25.46,23.95,51.7,13.5,17.26,24.14,46.3,12.0,8.7,22.0,22.5,19.2,37
06.08.2020,09:54:41,25.47,23.96,52.3,13.7,17.36,24.15,46.5,12.1,8.7,21.9,22.5,19.2,36
06.08.2020,09:54:51,25.47,23.94,52.6,13.8,17.41,24.16,46.7,12.2,8.8,21.9,22.5,19.3,36
06.08.2020,09:55:01,25.48,23.90,53.2,13.9,17.47,24.16,46.3,12.0,8.7,22.0,22.5,19.4,36
06.08.2020,09:55:11,25.49,23.86,54.4,14.2,17.61,24.17,45.9,11.9,8.6,22.0,22.5,19.4,37
06.08.2020,09:55:21,25.50,23.84,54.6,14.3,17.62,24.18,46.6,12.1,8.8,22.1,22.5,19.3,37
06.08.2020,09:55:31,25.51,23.83,54.7,14.3,17.63,24.18,46.3,12.0,8.7,22.1,22.5,19.3,37
06.08.2020,09:55:41,25.53,23.79,54.0,14.0,17.49,24.18,46.7,12.2,8.8,22.1,22.5,19.2,38
06.08.2020,09:55:51,25.54,23.80,53.5,13.9,17.42,24.17,46.5,12.1,8.7,22.1,22.4,19.2,37
06.08.2020,09:56:01,25.54,23.82,54.0,14.1,17.52,24.17,45.4,11.7,8.5,22.1,22.4,19.1,38
06.08.2020,09:56:11,25.54,23.81,54.5,14.2,17.58,24.16,46.1,12.0,8.7,22.0,22.4,19.2,39
06.08.2020,09:56:21,25.55,23.77,54.8,14.2,17.58,24.16,45.7,11.8,8.6,21.9,22.3,19.3,53
06.08.2020,09:56:31,25.56,23.73,54.1,14.0,17.46,24.16,47.1,12.3,8.8,21.7,22.3,19.3,52
06.08.2020,09:56:41,25.57,23.73,53.4,13.8,17.33,24.16,46.7,12.2,8.8,21.7,22.4,19.3,45
06.08.2020,09:56:51,25.58,24.14,50.4,13.3,17.22,24.17,45.5,11.8,8.5,21.8,22.4,19.4,55
06.08.2020,09:57:01,25.58,24.28,49.8,13.2,17.23,24.19,45.3,11.7,8.5,21.9,22.4,19.3,61
06.08.2020,09:57:11,25.59,24.22,50.0,13.3,17.22,24.22,46.8,12.2,8.8,21.9,22.4,19.4,53
06.08.2020,09:57:21,25.60,24.16,50.0,13.2,17.17,24.23,46.5,12.2,8.8,22.0,22.4,19.4,65
06.08.2020,09:57:31,25.61,24.07,49.8,13.1,17.07,24.23,46.4,12.1,8.8,22.1,22.4,19.4,64
06.08.2020,09:57:41,25.62,23.99,50.2,13.1,17.06,24.22,46.7,12.2,8.8,22.1,22.4,19.4,67
06.08.2020,09:57:51,25.63,24.05,49.9,13.1,17.06,24.22,45.9,11.9,8.7,22.2,22.5,19.4,68
06.08.2020,09:58:01,25.63,24.14,49.8,13.1,17.12,24.23,45.2,11.7,8.5,22.2,22.5,19.4,74
06.08.2020,09:58:11,25.64,24.25,49.7,13.2,17.20,24.25,44.9,11.6,8.5,22.2,22.6,19.4,61
06.08.2020,09:58:21,25.65,24.34,50.0,13.4,17.31,24.27,44.8,11.6,8.5,22.3,22.6,19.5,62
06.08.2020,09:58:31,25.67,24.44,49.8,13.4,17.36,24.31,44.8,11.7,8.5,22.4,22.7,19.5,58
06.08.2020,09:58:41,25.68,24.45,50.1,13.5,17.43,24.33,44.7,11.6,8.5,22.4,22.7,19.5,55
